objectid,parentid,title,creator,date,description,display_template,object_location,image_small,image_thumb,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
grinnell_10023,grinnell:migration-test,Data Repository for Reproducible Research - collections.zip,,2014,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",item,https://digital.grinnell.edu/islandora/object/grinnell:10023/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:10023/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:10023/datastream/TN/view,,,,,,grinnell:10023,,,English ~ eng,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_10022,grinnell:migration-test,Data Repository for Reproducible Research - collections.tar,,2014,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",item,https://digital.grinnell.edu/islandora/object/grinnell:10022/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:10022/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:10022/datastream/TN/view,,,,,,grinnell:10022,,,English ~ eng,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_1000,grinnell:migration-test,A Glimpse of the New Quadrangle For Women at Grinnell College,,1915,"A booklet describing the need for new women's housing, as well as photographs of the new housing being built. Printed circa 1915.",item,https://digital.grinnell.edu/islandora/object/grinnell:1000/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:1000/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:1000/datastream/TN/view,,,,,,grinnell:1000,,image/tiff,English ~ eng,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_23345,grinnell:migration-test,Facilitating Collaborative Metadata Creation for Faculty-initiated Digital Projects,,2020,"The usability and long-term preservation of digital humanities projects, such as a digital archive or other project built around digitized materials, depend on thoughtful and thorough metadata creation. The variety of expertise required to create highquality metadata for digital humanities projects practically requires a collaborative approach. Putting the call for collaboration into practice requires tools that are accessible and functional for all collaborators. Research on tools for metadata creation has tended to focus either on tools for librarians to manage digital project metadata or on tools for independent author metadata creation (Greenberg, 2003; Crystal & Greenberg, 2005). The literature has also tended to focus solely on the use of spreadsheets for metadata creation. Lincoln (2018) has discussed best practices for Google Sheets in archival metadata entry, and Broman and Woo (2017) have discussed best practices for spreadsheet data entry in general. This article positions tool selection and configuration as site of collaboration for the creation of digital project metadata through its examination of a Google Forms-based workflow for the creation and organization of metadata.",pdf,https://digital.grinnell.edu/islandora/object/grinnell:23345/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:23345/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:23345/datastream/TN/view,,,,,,grinnell:23345,,application/pdf,English ~ en,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_10001,grinnell:migration-test,Data Repository for Reproducible Research,,2014,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",record,https://digital.grinnell.edu/islandora/object/grinnell:10001/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:10001/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:10001/datastream/TN/view,,,,,,grinnell:10001,,,English ~ eng,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_10024,grinnell:migration-test,Data Repository for Reproducible Research - data.tar,,2014,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",item,https://digital.grinnell.edu/islandora/object/grinnell:10024/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:10024/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:10024/datastream/TN/view,,,,,,grinnell:10024,,,English ~ eng,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_10025,grinnell:migration-test,Data Repository for Reproducible Research - data.zip,,2014,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",item,https://digital.grinnell.edu/islandora/object/grinnell:10025/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:10025/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:10025/datastream/TN/view,,,,,,grinnell:10025,,,English ~ eng,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_19423,grinnell:migration-test,Audrey (Bunny) Howard Swanson '43,,1943,"Alumni oral history interview with Audrey (Bunny) Howard Swanson '43. Recorded June 1, 2012.",oral-history,https://migrationtestcollection.blob.core.windows.net/migration-test/grinnell_19423_OBJ.obj,https://digital.grinnell.edu/islandora/object/grinnell:19423/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:19423/datastream/TN/view,,,,,,grinnell:19423,,video/mpeg,English ~ eng,,
grinnell_23517,grinnell:migration-test,A Circle of Students Sit Beneath a Tree in the Fall,,1995,A circle of students lounge beneath a tree in the fall of 1995.,image,https://digital.grinnell.edu/islandora/object/grinnell:23517/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:23517/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:23517/datastream/TN/view,,,,,,grinnell:23517,,image/tiff,English ~ eng,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
grinnell_5593,grinnell:migration-test,The Grinnell Beowulf: A Translation with Notes (Recorded Reading),,2014,"A translation of Beowulf with notes by Timothy D. Arner, Eva Dawson, Emily Johnson, Jeanette Miller, Logan Shearer, Aniela Wendt, and Kate Whitman read aloud by the translators.",audio,https://digital.grinnell.edu/islandora/object/grinnell:5593/datastream/OBJ/view,https://digital.grinnell.edu/islandora/object/grinnell:5593/datastream/TN/view,https://digital.grinnell.edu/islandora/object/grinnell:5593/datastream/TN/view,,,,,,grinnell:5593,,video/mpeg,English ~ eng,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.)."
